nombreOferta;precioActual;precioAnterior;imagenOferta;urlOferta;categoria
Lentejas a la riojana Carrefour 430 g.;1.38;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/228296_00_1.jpg;https://www.carrefour.es/supermercado/lentejas-a-la-riojana-carrefour-430-g-carrefour/R-521006729/p?prtId=cat20001;2
Tortitas de maíz ecológicas Carrefour Bio 115 g.;1.19;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/159085_00_1.jpg;https://www.carrefour.es/supermercado/tortitas-de-maiz-ecologicas-carrefour-bio-115-g-carrefour-bio/R-865700678/p?prtId=cat20001;2
Leche desnatada Central Lechera Asturiana botella 1,5 l.;1.85;1.69;https://static.carrefour.es/hd_280x_/img_pim_food/049435_00_1.jpg;https://www.carrefour.es/supermercado/leche-desnatada-central-lechera-asturiana-botella-1-5-l-central-lechera-asturiana/R-521007087/p?prtId=cat20001;2
Hummus classic Carrefour Extra sin gluten 420 g.;2.25;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/118184_00_1.jpg;https://www.carrefour.es/supermercado/hummus-classic-carrefour-extra-sin-gluten-420-g-carrefour/R-VC4AECOMM-118184/p?prtId=cat20001;2
Palitos rebozados de merluza Pescanova 300 g.;2.20;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/224044_00_1.jpg;https://www.carrefour.es/supermercado/palitos-rebozados-de-merluza-pescanova-300-g-pescanova/R-590503530/p?prtId=cat20001;2
Leche desnatada ultrafiltrada Suprema Central Lechera Asturiana sin lactosa brik 1 l.;1.30;1.24;https://static.carrefour.es/hd_280x_/img_pim_food/855735_00_1.jpg;https://www.carrefour.es/supermercado/leche-desnatada-ultrafiltrada-suprema-central-lechera-asturiana-sin-lactosa-brik-1-l-central-lechera-asturiana/R-prod730913/p?prtId=cat20001;2
Boquerones Carrefour sin gluten 80 g.;2.07;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/497214_00_1.jpg;https://www.carrefour.es/supermercado/boquerones-carrefour-sin-gluten-80-g-carrefour/R-VC4AECOMM-497214/p?prtId=cat20001;2
Leche semidesnatada Puleva sin gluten sin lactosa botella 1 l.;1.39;1.19;https://static.carrefour.es/hd_280x_/img_pim_food/196898_00_1.jpg;https://www.carrefour.es/supermercado/leche-semidesnatada-puleva-sin-gluten-sin-lactosa-botella-1-l-puleva/R-521007020/p?prtId=cat20001;2
Aceite de oliva suave 0,4º La Masía garrafa 5 l.;32.40;25.95;https://static.carrefour.es/hd_280x_/img_pim_food/043143_00_1.jpg;https://www.carrefour.es/supermercado/aceite-de-oliva-suave-0-4-la-masia-garrafa-5-l-la-masia/R-521033467/p?prtId=cat20001;2
Leche desnatada 0% MG con calcio Pascual brik 1 l.;1.83;1.57;https://static.carrefour.es/hd_280x_/img_pim_food/167551_00_1.jpg;https://www.carrefour.es/supermercado/leche-desnatada-0-mg-con-calcio-pascual-brik-1-l-pascual/R-521007008/p?prtId=cat20001;2
Chocolate negro intenso 85% cacao Carrefour Selection sin gluten 100 g.;1.20;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/095367_00_1.jpg;https://www.carrefour.es/supermercado/chocolate-negro-intenso-85-cacao-carrefour-selection-sin-gluten-100-g-carrefour-seleccion/R-VC4AECOMM-095367/p?prtId=cat20001;2
Vinagre de vino blanco Ybarra 1 l.;1.05;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/030450_00_1.jpg;https://www.carrefour.es/supermercado/vinagre-de-vino-blanco-ybarra-1-l-ybarra/R-521011908/p?prtId=cat20001;2
Leche desnatada 0% MG Puleva sin gluten sin lactosa botella 1 l.;1.39;1.19;https://static.carrefour.es/hd_280x_/img_pim_food/227049_00_1.jpg;https://www.carrefour.es/supermercado/leche-desnatada-0-mg-puleva-sin-gluten-sin-lactosa-botella-1-l-puleva/R-538002088/p?prtId=cat20001;2
Aceite de oliva virgen extra Carbonell 5 l.;43.55;28.95;https://static.carrefour.es/hd_280x_/img_pim_food/300508_00_1.jpg;https://www.carrefour.es/supermercado/aceite-de-oliva-virgen-extra-carbonell-5-l-carbonell/R-584001515/p?prtId=cat20001;2
Barritas de cereales con chocolate blanco Classic Carrefour 120 g.;1.35;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/419822_00_1.jpg;https://www.carrefour.es/supermercado/barritas-de-cereales-con-chocolate-blanco-classic-carrefour-120-g-carrefour/R-VC4AECOMM-419822/p?prtId=cat20001;2
Mayonesa con aceite de oliva Ybarra sin gluten y sin lactosa 225 ml.;2.09;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/153237_00_1.jpg;https://www.carrefour.es/supermercado/mayonesa-con-aceite-de-oliva-ybarra-sin-gluten-y-sin-lactosa-225-ml-ybarra/R-521005164/p?prtId=cat20001;2
Filetes de caballa del sur en aceite de oliva bajo en sal Carrefour pack de 2 latas de 65 g.;2.05;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/488901_00_1.jpg;https://www.carrefour.es/supermercado/filetes-de-caballa-del-sur-en-aceite-de-oliva-bajo-en-sal-carrefour-pack-de-2-latas-de-65-g-carrefour/R-VC4AECOMM-488901/p?prtId=cat20001;2
